,artist,number,orig_ds,orig_fname,title,duration
24,Phil Collins,0043,Billboard,0043\salami_chords.txt,Two Hearts,205
25,The Power Station,0044,Billboard,0044\salami_chords.txt,Some Like It Hot,306
26,The Staple Singers,0046,Billboard,0046\salami_chords.txt,I'll Take You There,195
27,Barbara Streisand,0049,Billboard,0049\salami_chords.txt,People,221
28,Beatles,0050,Billboard,0050\salami_chords.txt,Love Me Do,143
29,Cliff Richard,0051,Billboard,0051\salami_chords.txt,Carrie,225
30,Led Zeppelin,0053,Billboard,0053\salami_chords.txt,Over The Hills and Far Away,308
31,J. Frank Wilson & The Cavaliers,0054,Billboard,0054\salami_chords.txt,Last Kiss,148
32,The Robert Cray Band,0055,Billboard,0055\salami_chords.txt,Smoking Gun,241
33,Bobbi Martin,0056,Billboard,0056\salami_chords.txt,I Love You So,176
34,Peggy Lee,0059,Billboard,0059\salami_chords.txt,Is That All There Is,264
35,Creedence Clearwater Revival,0061,Billboard,0061\salami_chords.txt,I Put A Spell On You,254
36,Gino Vanelli,0062,Billboard,0062\salami_chords.txt,Hurts To Be In Love,223
37,Roy Orbison,0064,Billboard,0064\salami_chords.txt,Cry Softly Lonely One,173
38,The Contours,0066,Billboard,0066\salami_chords.txt,Do You Love Me,174
39,Little Joey & The Flips,0067,Billboard,0067\salami_chords.txt,Bongo Stomp,137
40,Gino Vannelli,0068,Billboard,0068\salami_chords.txt,Black Cars,190
41,Sly & The Family Stone,0070,Billboard,0070\salami_chords.txt,Hot Fun In The Summertime,158
42,Meatloaf,0071,Billboard,0071\salami_chords.txt,Paradise by the Dashboard Light,571
43,The Youngbloods,0072,Billboard,0072\salami_chords.txt,Get Together,277
44,Heart,0073,Billboard,0073\salami_chords.txt,Crazy On You,292
45,Martha Reeves & The Vandellas,0074,Billboard,0074\salami_chords.txt,Nowhere To Run,179
46,Foghat,0075,Billboard,0075\salami_chords.txt,Drivin' Wheel,271
47,Little River Band,0077,Billboard,0077\salami_chords.txt,Reminiscing,212
48,The Boys,0078,Billboard,0078\salami_chords.txt,Dial My Heart,265
49,James Brown,0079,Billboard,0079\salami_chords.txt,Cold Sweat - Part 1,172
50,Paul Simon,0081,Billboard,0081\salami_chords.txt,You Can Call Me Al,281
51,UB40,0083,Billboard,0083\salami_chords.txt,Red Red Wine,321
52,Michael Jackson,0085,Billboard,0085\salami_chords.txt,I Just Can't Stop Loving You,254
53,David Bowie,0086,Billboard,0086\salami_chords.txt,Space Oddity,315
54,Nitty Gritty Dirt Band,0088,Billboard,0088\salami_chords.txt,Buy For Me The Rain,143
55,Pat Benetar,0089,Billboard,0089\salami_chords.txt,Fire And Ice,200
56,Spandau Ballet,0091,Billboard,0091\salami_chords.txt,True,343
57,Peter Gabriel,0092,Billboard,0092\salami_chords.txt,Shock the Monkey,239
58,Rolling Stones,0094,Billboard,0094\salami_chords.txt,Wild Horses,344
59,Foghat,0095,Billboard,0095\salami_chords.txt,Drivin' Wheel,271
60,Boyz II Men,0097,Billboard,0097\salami_chords.txt,Motown Philly,234
61,Bananarama,0099,Billboard,0099\salami_chords.txt,A Trick Of The Night,249
62,Rod Stewart,0100,Billboard,0100\salami_chords.txt,Maggie May,350
63,Dottie West,0101,Billboard,0101\salami_chords.txt,A Lesson in Leavin,183
64,Ray Price,0102,Billboard,0102\salami_chords.txt,For The Good Times,230
65,Little River Band,0104,Billboard,0104\salami_chords.txt,We Two,274
66,Rush,0105,Billboard,0105\salami_chords.txt,The Spirit of Radio,298
67,Bread,0106,Billboard,0106\salami_chords.txt,If,156
68,Lynyrd Skynyrd,0107,Billboard,0107\salami_chords.txt,Sweet Home Alabama,284
69,The tee set,0109,Billboard,0109\salami_chords.txt,Ma belle amie,197
70,The Byrds,0111,Billboard,0111\salami_chords.txt,Eight Miles High,215
71,Gladys Knight & The Pips,0112,Billboard,0112\salami_chords.txt,Letter Full of Tears,166
72,Cream,0114,Billboard,0114\salami_chords.txt,Sunshine of Your Love,253
73,Chuck Berry,0115,Billboard,0115\salami_chords.txt,Sweet Little Rock N' Roll,142
74,Eric Clapton,0116,Billboard,0116\salami_chords.txt,Let It Rain,302
75,"David Ruffin, Jimmy Ruffin",0119,Billboard,0119\salami_chords.txt,Stand By Me,229
76,The Ronettes,0120,Billboard,0120\salami_chords.txt,Be My Baby,159
77,Freddie Jackson,0122,Billboard,0122\salami_chords.txt,Have You Ever Loved Somebody,277
78,Bing Crosby,0123,Billboard,0123\salami_chords.txt,Silent Night,162
79,Eric Clapton,0124,Billboard,0124\salami_chords.txt,Promises,181
80,Blue Eyes Cryin',0126,Billboard,0126\salami_chords.txt,Willie Nelson,141
81,Etta James,0127,Billboard,0127\salami_chords.txt,Stop the Wedding,174
82,Looking Glass,0128,Billboard,0128\salami_chords.txt,Brandy,188
83,The Rolling Stones,0130,Billboard,0130\salami_chords.txt,Tumbling Dice,228
84,Ronnie Milsap,0131,Billboard,0131\salami_chords.txt,I wouldn't Have Missed it For The World,216
85,Bobby Bare,0133,Billboard,0133\salami_chords.txt,Detroit City,168
86,Electric Prunes,0134,Billboard,0134\salami_chords.txt,I Had Too Much To Dream,180
87,UB40,0139,Billboard,0139\salami_chords.txt,The Way You Do The Things You Do,183
88,ZZ Top,0140,Billboard,0140\salami_chords.txt,La Grange,234
89,Peter Gabriel,0141,Billboard,0141\salami_chords.txt,Shock the Monkey,239
90,Dion,0145,Billboard,0145\salami_chords.txt,Runaround Sue,163
91,The String-A-Longs,0147,Billboard,0147\salami_chords.txt,Wheels,124
92,The Police,0148,Billboard,0148\salami_chords.txt,Spirits In The Material World,179
93,Randy Vanwarmer,0149,Billboard,0149\salami_chords.txt,Just When I Needed You Most,244
94,Tina Turner,0150,Billboard,0150\salami_chords.txt,What's Love Got To Do With It,229
95,The Everly Brothers,0153,Billboard,0153\salami_chords.txt,Walk Right Back,139
96,Robert John,0154,Billboard,0154\salami_chords.txt,Lonely Eyes,190
97,Eric Clapton,0155,Billboard,0155\salami_chords.txt,Forever Man,192
98,Santo & Johnny,0157,Billboard,0157\salami_chords.txt,Sleep Walk,143
99,Level 42,0158,Billboard,0158\salami_chords.txt,Something About You,227
100,Elvis Presley,0159,Billboard,0159\salami_chords.txt,Little Sister,152
101,Solomon Burke,0160,Billboard,0160\salami_chords.txt,If you need me,153
102,Brenda Lee,0162,Billboard,0162\salami_chords.txt,Sweet Nothin's,146
103,Melba Montgomery,0167,Billboard,0167\salami_chords.txt,No Charge,194
104,San Franciscan Nights,0168,Billboard,0168\salami_chords.txt,The Animals,201
105,Sea of Heartbreak,0169,Billboard,0169\salami_chords.txt,Don Gibson,154
106,Twilight Zone,0170,Billboard,0170\salami_chords.txt,Golden Earring,280
107,Solomon Burke,0172,Billboard,0172\salami_chords.txt,If you need me,153
108,25 or 6 to 4,0176,Billboard,0176\salami_chords.txt,Chicago,290
109,Nathalie Cole,0177,Billboard,0177\salami_chords.txt,I've Got Love On My Mind,261
110,Bo Diddley,0179,Billboard,0179\salami_chords.txt,You Can't Judge A Book By The Cover,191
111,Beautiful,0180,Billboard,0180\salami_chords.txt,Gordon Lightfoot,203
112,Always Something There to Remind Me,0181,Billboard,0181\salami_chords.txt,Naked Eyes,221
113,John Denver,0182,Billboard,0182\salami_chords.txt,Annie's Song,182
114,ABBA,0183,Billboard,0183\salami_chords.txt,Chiquitita,325
115,Pet Shop Boys,0184,Billboard,0184\salami_chords.txt,Always on My Mind,235
116,Jimmy Clanton,0185,Billboard,0185\salami_chords.txt,Just A Dream,152
117,Little River Band,0187,Billboard,0187\salami_chords.txt,Help Is On The Way,242
118,Cheap Trick,0188,Billboard,0188\salami_chords.txt,I Want You To Want Me,224
119,Gloria Gaynor,0190,Billboard,0190\salami_chords.txt,Never Can Say Goodbye,178
120,The Rascals,0191,Billboard,0191\salami_chords.txt,People Got To Be Free,182
121,Dinah Washington,0192,Billboard,0192\salami_chords.txt,Unforgettable,164
122,Andy Gibb,0193,Billboard,0193\salami_chords.txt,Shadow Dancing,274
123,Eric Clapton,0194,Billboard,0194\salami_chords.txt,Willie And The Hand Jive,702
124,Alice Cooper,0195,Billboard,0195\salami_chords.txt,Schoool's out,261
125,Paul Anka,0196,Billboard,0196\salami_chords.txt,Love Me Warm And Tender,142
126,Chicago,0198,Billboard,0198\salami_chords.txt,Along Comes A Woman,229
127,Anne Murray,0199,Billboard,0199\salami_chords.txt,Could I Have This Dance,303
128,The O'Jays,0202,Billboard,0202\salami_chords.txt,Love Train,180
129,Jimmy Cliff,0203,Billboard,0203\salami_chords.txt,"Wonderful World, Beautiful People",191
130,Ike & Tina Turner,0204,Billboard,0204\salami_chords.txt,I Want To Take You Higher,173
131,Billy Joel,0205,Billboard,0205\salami_chords.txt,Pressure,281
132,Paul McCartney,0206,Billboard,0206\salami_chords.txt,Maybe I'm Amazed,233
133,Steve Winwood,0207,Billboard,0207\salami_chords.txt,Back in the High Life Again,263
134,Chicago,0208,Billboard,0208\salami_chords.txt,Another Rainy Day in New York City,182
135,The Eagles,0209,Billboard,0209\salami_chords.txt,Already Gone,256
136,Tom Jones,0210,Billboard,0210\salami_chords.txt,She's A Lady,150
137,Ike & Tina Turner,0212,Billboard,0212\salami_chords.txt,It's Gonna Work Out Fine,184
138,Mel Torme,0213,Billboard,0213\salami_chords.txt,Comin' Home Baby,164
139,Ray Charles,0214,Billboard,0214\salami_chords.txt,The Right Time,205
140,Heart,0215,Billboard,0215\salami_chords.txt,Magic Man,329
141,Isaac Hayes,0216,Billboard,0216\salami_chords.txt,Do your thing,200
142,Rick Springfield,0217,Billboard,0217\salami_chords.txt,Jessie's Girl,197
143,Abba,0218,Billboard,0218\salami_chords.txt,Fernando,256
144,Nat King Cole,0220,Billboard,0220\salami_chords.txt,Ramblin' Rose,169
145,Roberta Flack,0221,Billboard,0221\salami_chords.txt,Feel Like Making Love,177
146,Elvis Presley,0222,Billboard,0222\salami_chords.txt,For Ol' Times Sake,218
147,Michael Jackson,0223,Billboard,0223\salami_chords.txt,Wanna Be Startin' Somethin',362
148,Glen Campbell,0224,Billboard,0224\salami_chords.txt,Galveston,162
149,Pat Benatar,0227,Billboard,0227\salami_chords.txt,Promises In The Dark,288
150,The Beach Boys,0228,Billboard,0228\salami_chords.txt,Still Cruisin,216
151,The Rolling Stones,0229,Billboard,0229\salami_chords.txt,Honky Tonk Women,182
152,ABBA,0231,Billboard,0231\salami_chords.txt,"Knowing Me, Knowing You",244
153,The Band,0234,Billboard,0234\salami_chords.txt,Life Is A Carnival,235
154,John Denver,0235,Billboard,0235\salami_chords.txt,Back Home Again,286
155,Genesis,0236,Billboard,0236\salami_chords.txt,"Tonight, Tonight, Tonight",534
156,Kenny Rogers,0238,Billboard,0238\salami_chords.txt,You Decorated My Life,220
157,The Beach Boys,0239,Billboard,0239\salami_chords.txt,Sail On Sailor,199
158,Billy Joel,0240,Billboard,0240\salami_chords.txt,Just The Way You Are,291
159,Bing Crosby,0241,Billboard,0241\salami_chords.txt,White Christmas,182
160,Stevie B,0242,Billboard,0242\salami_chords.txt,Because I Love You,262
161,The Rolling Stones,0244,Billboard,0244\salami_chords.txt,"Have You Seen Your Mother, Baby, Standing In The Shadow?",154
162,John Denver,0245,Billboard,0245\salami_chords.txt,It Amazes Me,160
163,Glen Campbell,0246,Billboard,0246\salami_chords.txt,Rhinestone Cowboy,195
164,J. Frank Wilson & The Cavaliers,0247,Billboard,0247\salami_chords.txt,Last Kiss,148
165,Ten Years After,0248,Billboard,0248\salami_chords.txt,I'd Love To Change The World,225
166,Bob Seger,0249,Billboard,0249\salami_chords.txt,Old Time Rock & Roll,195
167,Jimmy Jones,0250,Billboard,0250\salami_chords.txt,Handy Man,122
168,Brother Jack McDuff,0251,Billboard,0251\salami_chords.txt,Theme From Electric Surfboard,214
169,Dion,0253,Billboard,0253\salami_chords.txt,Love Came To Me,166
170,Simple Minds,0254,Billboard,0254\salami_chords.txt,Sanctify Yourself,299
171,Brownsville station,0256,Billboard,0256\salami_chords.txt,Smokin' In The Boys Room,179
172,Max Frost & The Troopers,0257,Billboard,0257\salami_chords.txt,Shape Of Things To Come,114
173,Firehouse,0258,Billboard,0258\salami_chords.txt,Don t Treat Me Bad,323
174,Patrick Hernandez,0259,Billboard,0259\salami_chords.txt,Born To Be Alive,215
175,Tom Jones,0260,Billboard,0260\salami_chords.txt,She's A Lady,150
176,Iron Butterfly,0261,Billboard,0261\salami_chords.txt,In-A-Gadda-Da-Vida,174
177,Wednesday,0263,Billboard,0263\salami_chords.txt,Last Kiss,156
178,Rolling Stones,0264,Billboard,0264\salami_chords.txt,Dandelion,228
179,The 5th Dimension,0265,Billboard,0265\salami_chords.txt,(Last Night) I Didn't Get To Sleep At All,192
180,Johnny Tillotson,0267,Billboard,0267\salami_chords.txt,Worried Guy,150
181,REO Speedwagon,0268,Billboard,0268\salami_chords.txt,Time For Me To Fly,213
182,Pink Floyd,0269,Billboard,0269\salami_chords.txt,Money,406
183,The Beach Boys,0270,Billboard,0270\salami_chords.txt,In My Room,135
184,Robert Palmer,0271,Billboard,0271\salami_chords.txt,Addicted to Love,265
185,Pat Benatar,0275,Billboard,0275\salami_chords.txt,Promises In The Dark,288
186,Clarence Carter,0276,Billboard,0276\salami_chords.txt,Patches,193
187,Rolling Stones,0278,Billboard,0278\salami_chords.txt,Waiting On A Friend,274
188,Patrick Hernandez,0279,Billboard,0279\salami_chords.txt,Born To Be Alive,215
189,Marvin Gaye & Kim Weston,0280,Billboard,0280\salami_chords.txt,It Takes Two,180
190,Heart,0281,Billboard,0281\salami_chords.txt,There's the Girl,235
191,Bob Dylan,0282,Billboard,0282\salami_chords.txt,Gotta Serve Somebody,326
192,Nancy Sinatra,0284,Billboard,0284\salami_chords.txt,These Boots Are Made For Walkin',154
193,Brenda Lee,0288,Billboard,0288\salami_chords.txt,As Usual,158
194,Elvis Presley,0289,Billboard,0289\salami_chords.txt,Guitar Man,177
195,The Hollies,0290,Billboard,0290\salami_chords.txt,Long Dark Road,261
196,Rita Coolidge,0291,Billboard,0291\salami_chords.txt,The Way You Do The Things You Do,219
197,25 or 6 to 4,0292,Billboard,0292\salami_chords.txt,Chicago,290
198,The Police,0293,Billboard,0293\salami_chords.txt,Every Little Thing She Does Is Magic,261
199,Jerry Jeff Walker,0294,Billboard,0294\salami_chords.txt,Mr. Bojangles,234
200,Billy Joel,0295,Billboard,0295\salami_chords.txt,Just The Way You Are,291
201,Eagles,0296,Billboard,0296\salami_chords.txt,Lyin' Eyes,381
202,Bobby Womack,0297,Billboard,0297\salami_chords.txt,That's the Way I Feel About Cha,216
203,Whitesnake,0300,Billboard,0300\salami_chords.txt,Here I Go Again,278
204,The Beatles,0302,Billboard,0302\salami_chords.txt,Do You Want To Know A Secret,119
205,Juice Newton,0303,Billboard,0303\salami_chords.txt,Break It To Me Gently,243
206,Digital Underground,0304,Billboard,0304\salami_chords.txt,The Humpty Dance,388
207,Village People,0306,Billboard,0306\salami_chords.txt,In The Navy,226
208,Smokey Robinson,0307,Billboard,0307\salami_chords.txt,Cruisin',270
209,Roger Miller,0308,Billboard,0308\salami_chords.txt,You Can't Roller Skate In A Buffalo Herd,112
210,Cyndi Lauper,0309,Billboard,0309\salami_chords.txt,All Through The Night,270
211,Little River Band,0310,Billboard,0310\salami_chords.txt,The Other Guy,169
212,Anne Murray,0312,Billboard,0312\salami_chords.txt,Daydream Believer,147
213,James Brown,0314,Billboard,0314\salami_chords.txt,I Got You (I Feel Good),169
214,Redbone,0315,Billboard,0315\salami_chords.txt,Come And Get Your Love,214
215,Cheap Trick,0317,Billboard,0317\salami_chords.txt,Dream Police,231
216,The String-A-Longs,0318,Billboard,0318\salami_chords.txt,Wheels,124
217,Marvin Gaye,0319,Billboard,0319\salami_chords.txt,I Want You,239
218,The Supremes,0320,Billboard,0320\salami_chords.txt,Floy Joy,155
219,The Everly Brothers,0322,Billboard,0322\salami_chords.txt,Bird Dog,137
220,Cheap Trick,0323,Billboard,0323\salami_chords.txt,Dream Police,231
221,Linda Ronstadt,0324,Billboard,0324\salami_chords.txt,When Will I Be Loved,125
222,Paul Anka,0325,Billboard,0325\salami_chords.txt,Let Me Get To Know You,201
223,Elvis Presley,0326,Billboard,0326\salami_chords.txt,My Boy,201
224,The Robert Cray Band,0329,Billboard,0329\salami_chords.txt,Smoking Gun,241
225,The Fifth Dimension,0330,Billboard,0330\salami_chords.txt,Where Do You Wanna Go,145
226,Kool and the Gang,0331,Billboard,0331\salami_chords.txt,Jungle Boogie,186
227,Rolling Stones,0332,Billboard,0332\salami_chords.txt,Waiting On A Friend,274
228,Rockwell,0334,Billboard,0334\salami_chords.txt,Somebody s Watching Me,242
229,The Contours,0335,Billboard,0335\salami_chords.txt,Do You Love Me,174
230,Rita Coolidge,0336,Billboard,0336\salami_chords.txt,Your Love Has Lifted Me Higher,243
231,Kenny Rogers,0338,Billboard,0338\salami_chords.txt,Through The Years,286
232,Urban Dance Squad,0339,Billboard,0339\salami_chords.txt,Deeper Shade Of Soul,274
233,The Commodores,0341,Billboard,0341\salami_chords.txt,Easy,264
234,Gladys Night & The Pips,0343,Billboard,0343\salami_chords.txt,If I Were Your Woman,194
235,The Rolling Stones,0345,Billboard,0345\salami_chords.txt,Doo Doo Doo Doo Doo,208
236,Freddy Fender,0346,Billboard,0346\salami_chords.txt,Living It Down,156
237,Glen Campbell,0347,Billboard,0347\salami_chords.txt,Sunflower,172
238,Tina Turner,0348,Billboard,0348\salami_chords.txt,The Best,329
239,Firehouse,0349,Billboard,0349\salami_chords.txt,Don t Treat Me Bad,323
240,Bachman-Turner Overdrive,0351,Billboard,0351\salami_chords.txt,Roll On Down The Highway,240
241,Marky Mark & The Funky Bunch,0352,Billboard,0352\salami_chords.txt,Good Vibrations,270
242,Sammy Hagar,0353,Billboard,0353\salami_chords.txt,I Can't Drive 55,250
243,Elton John,0354,Billboard,0354\salami_chords.txt,Philadelphia Freedom,323
244,Johnny Tillotson,0355,Billboard,0355\salami_chords.txt,"I Rise, I Fall",138
245,Brenda Lee,0356,Billboard,0356\salami_chords.txt,Dum Dum,148
246,Donna Fargo,0358,Billboard,0358\salami_chords.txt,Superman,147
247,The Cure,0359,Billboard,0359\salami_chords.txt,Just Like Heaven,212
248,Ike & Tina Turner,0360,Billboard,0360\salami_chords.txt,I Want To Take You Higher,173
249,George Harrison,0361,Billboard,0361\salami_chords.txt,This Song,254
250,Wednesday,0362,Billboard,0362\salami_chords.txt,Last Kiss,156
251,Santana,0364,Billboard,0364\salami_chords.txt,Evil Ways,238
252,Chicago,0366,Billboard,0366\salami_chords.txt,Feelin' Stronger Every Day,254
253,Alan O'Day,0367,Billboard,0367\salami_chords.txt,Undercover Angel,213
254,The Buckinghams,0369,Billboard,0369\salami_chords.txt,Kind Of A Drag,130
255,Neneh Cherry,0370,Billboard,0370\salami_chords.txt,Kisses On The Wind,237
256,Brenda Lee,0371,Billboard,0371\salami_chords.txt,Losing You,155
257,Kenny Rogers,0372,Billboard,0372\salami_chords.txt,Scarlet Fever,238
258,Ann Peebles,0377,Billboard,0377\salami_chords.txt,I Can't Stand The Rain,154
259,Digital Underground,0378,Billboard,0378\salami_chords.txt,The Humpty Dance,388
260,Gladys Knight & The Pips,0380,Billboard,0380\salami_chords.txt,Best Thing That Ever Happened To Me,227
261,Focus,0381,Billboard,0381\salami_chords.txt,Hocus Pocus,207
262,Pet Shop Boys,0382,Billboard,0382\salami_chords.txt,Where The Streets Have No Names,273
263,Donovan,0383,Billboard,0383\salami_chords.txt,Sunshine Superman,280
264,Sting,0384,Billboard,0384\salami_chords.txt,If you love somebody set them free,256
265,Wilson Phillips,0385,Billboard,0385\salami_chords.txt,Hold On,221
266,Elvis Presley,0386,Billboard,0386\salami_chords.txt,I Really Don't Want To Know,166
267,Rolling Stones,0387,Billboard,0387\salami_chords.txt,Time Is On My Side,179
268,General Public,0389,Billboard,0389\salami_chords.txt,Tenderness,217
269,Candi Staton,0390,Billboard,0390\salami_chords.txt,Young Hearts Run Free,222
270,The Isley Brothers,0391,Billboard,0391\salami_chords.txt,It's Your Thing,218
271,Genesis,0393,Billboard,0393\salami_chords.txt,Misunderstanding,195
272,Jackson Browne,0395,Billboard,0395\salami_chords.txt,Here Come Those Tears Again,217
273,Peggy Lee,0396,Billboard,0396\salami_chords.txt,Fever,203
274,Janis Joplin,0397,Billboard,0397\salami_chords.txt,Kozmic Blues,264
275,Elvis Presley,0399,Billboard,0399\salami_chords.txt,One Night,151
276,Shirley Brown,0400,Billboard,0400\salami_chords.txt,Woman To Woman,235
277,Cyndi Lauper,0401,Billboard,0401\salami_chords.txt,The Goonies `R Good Enough,218
278,J. Frank Wilson & The Cavaliers,0402,Billboard,0402\salami_chords.txt,Last Kiss,148
279,Aretha Franklin,0403,Billboard,0403\salami_chords.txt,I Never Loved A Man,164
280,The Crystals,0404,Billboard,0404\salami_chords.txt,He's A Rebel,157
281,Pure Prairie League,0406,Billboard,0406\salami_chords.txt,Amie,261
282,Gino Vannelli,0407,Billboard,0407\salami_chords.txt,Wild Horses,280
283,Johnny Tillotson,0410,Billboard,0410\salami_chords.txt,Jimmy's Girl,165
284,Harry Chapin,0412,Billboard,0412\salami_chords.txt,Sunday Morning Sunshine,228
285,The Rembrandts,0414,Billboard,0414\salami_chords.txt,Someone,231
286,David Bowie,0415,Billboard,0415\salami_chords.txt,Golden Years,209
287,Joni Mitchell,0417,Billboard,0417\salami_chords.txt,"(You're So Square) Baby, I Don't Care",158
288,Aretha Franklin,0418,Billboard,0418\salami_chords.txt,Chain Of Fools,168
289,George Harrison,0419,Billboard,0419\salami_chords.txt,Blow Away,241
290,The Who,0421,Billboard,0421\salami_chords.txt,Pinball Wizard,181
291,LaVern Baker,0425,Billboard,0425\salami_chords.txt,See See Rider,149
292,Bruce Springsteen,0426,Billboard,0426\salami_chords.txt,I m Goin Down,212
293,The Beach Boys,0427,Billboard,0427\salami_chords.txt,Bluebirds Over The Mountain,171
294,Ocean,0429,Billboard,0429\salami_chords.txt,Put Your Hand In The Hand,176
295,Huey Lewis & The News,0430,Billboard,0430\salami_chords.txt,I Want a New Drug,286
296,The Osmonds,0432,Billboard,0432\salami_chords.txt,One Bad Apple,166
297,The 5th Dimension,0433,Billboard,0433\salami_chords.txt,If I Could Reach You,189
298,Dion,0434,Billboard,0434\salami_chords.txt,Where Or When,160
299,Dion,0439,Billboard,0439\salami_chords.txt,Ruby Baby,157
300,Depeche Mode,0442,Billboard,0442\salami_chords.txt,World In My Eyes,240
301,The Kinks,0443,Billboard,0443\salami_chords.txt,Better Things,186
302,Elvis Presley,0444,Billboard,0444\salami_chords.txt,I Really Don't Want To Know,166
303,Chicago,0445,Billboard,0445\salami_chords.txt,Old Days,211
304,John Denver,0446,Billboard,0446\salami_chords.txt,Back Home Again,286
305,The Pointer Sisters,0448,Billboard,0448\salami_chords.txt,Jump (for My Love),242
306,Rick Springfield,0450,Billboard,0450\salami_chords.txt,Jessie's Girl,197
307,Crosby Stills and Nash,0451,Billboard,0451\salami_chords.txt,Got It Made,274
308,Billy Squier,0452,Billboard,0452\salami_chords.txt,Don't Say You Love Me,273
309,Roberta Flack,0454,Billboard,0454\salami_chords.txt,Feel Like Making Love,177
310,Jimmy Smith,0455,Billboard,0455\salami_chords.txt,Walk On The Wild Side (Part 1),357
311,Paul McCartney,0456,Billboard,0456\salami_chords.txt,With a Little Luck,346
312,Rolling Stones,0457,Billboard,0457\salami_chords.txt,Not Fade Away,186
313,Robert Palmer,0458,Billboard,0458\salami_chords.txt,Addicted to Love,265
314,The Drifters,0461,Billboard,0461\salami_chords.txt,On Broadway,180
315,John Denver,0463,Billboard,0463\salami_chords.txt,Seasons Of The Heart,231
316,Billy Idol,0464,Billboard,0464\salami_chords.txt,Flesh For Fantasy,278
317,Sammy Hagar,0465,Billboard,0465\salami_chords.txt,Give To Live,339
318,The Music Explosion,0467,Billboard,0467\salami_chords.txt,Little Bit O' Soul,143
319,The Temptations,0468,Billboard,0468\salami_chords.txt,Ain't Too Proud To Beg,154
320,Corey Hart,0469,Billboard,0469\salami_chords.txt,In Your Soul,235
321,Brenda Lee,0471,Billboard,0471\salami_chords.txt,As Usual,158
322,Kenny Rogers,0472,Billboard,0472\salami_chords.txt,Sweet Music Man,260
323,The Beatles,0473,Billboard,0473\salami_chords.txt,Come Together,260
324,The Cowsills,0474,Billboard,0474\salami_chords.txt,Silver Threads And Golden Needles,181
325,Anne Murray,0475,Billboard,0475\salami_chords.txt,Daydream Believer,147
326,Color Me Badd,0476,Billboard,0476\salami_chords.txt,I Adore Mi Amor,291
327,The Hollies,0477,Billboard,0477\salami_chords.txt,Carrie-Anne,175
328,J. Geils Band,0478,Billboard,0478\salami_chords.txt,One Last Kiss,264
329,The Beach Boys,0479,Billboard,0479\salami_chords.txt,Wendy,139
330,Rick James,0480,Billboard,0480\salami_chords.txt,Give It To Me Baby,234
331,The Miracles,0481,Billboard,0481\salami_chords.txt,"Baby, Baby Don't Cry",239
332,"Evelyn ""Champagne"" King",0482,Billboard,0482\salami_chords.txt,I'm In Love,304
333,Dr. John,0483,Billboard,0483\salami_chords.txt,Right Place Wrong Time,335
334,Brenda Lee,0484,Billboard,0484\salami_chords.txt,Heart in Hand,151
335,Hall and Oates,0485,Billboard,0485\salami_chords.txt,Rich Girl,147
336,James Brown,0490,Billboard,0490\salami_chords.txt,My Thang,279
337,Police,0492,Billboard,0492\salami_chords.txt,Don't stand so close to me,243
338,Kenny Rogers,0494,Billboard,0494\salami_chords.txt,I Don't Need You,209
339,The Staple Singers,0497,Billboard,0497\salami_chords.txt,City In The Sky,224
340,Johnny Horton,0500,Billboard,0500\salami_chords.txt,The Battle Of New Orleans,153
341,Donna Summer,0501,Billboard,0501\salami_chords.txt,Last Dance,200
