,artist,duration,orig_ds,orig_fname,title
111,The Beatles,148,chordlib,The Beatles\06_-_Rubber_Soul\10_-_I'm_Looking_Through_You.lab,I'm Looking Through You
112,The Beatles,148,chordlib,The Beatles\06_-_Rubber_Soul\11_-_In_My_Life.lab,In My Life
113,The Beatles,137,chordlib,The Beatles\06_-_Rubber_Soul\12_-_Wait.lab,Wait
114,The Beatles,144,chordlib,The Beatles\06_-_Rubber_Soul\13_-_If_I_Needed_Someone.lab,If I Needed Someone
115,The Beatles,144,chordlib,The Beatles\06_-_Rubber_Soul\14_-_Run_For_Your_Life (2).lab,Run For Your Life (2)
116,The Beatles,139,chordlib,The Beatles\06_-_Rubber_Soul\14_-_Run_For_Your_Life.lab,Run For Your Life
117,The Beatles,159,chordlib,The Beatles\07_-_Revolver\01_-_Taxman.lab,Taxman
118,The Beatles,128,chordlib,The Beatles\07_-_Revolver\02_-_Eleanor_Rigby.lab,Eleanor Rigby
119,The Beatles,182,chordlib,The Beatles\07_-_Revolver\03_-_I'm_Only_Sleeping.lab,I'm Only Sleeping
120,The Beatles,181,chordlib,The Beatles\07_-_Revolver\04_-_Love_You_To.lab,Love You To
121,The Beatles,146,chordlib,"The Beatles\07_-_Revolver\05_-_Here,_There_And_Everywhere.lab","Here, There And Everywhere"
122,The Beatles,160,chordlib,The Beatles\07_-_Revolver\06_-_Yellow_Submarine.lab,Yellow Submarine
123,The Beatles,157,chordlib,The Beatles\07_-_Revolver\07_-_She_Said_She_Said.lab,She Said She Said
124,The Beatles,130,chordlib,The Beatles\07_-_Revolver\08_-_Good_Day_Sunshine.lab,Good Day Sunshine
125,The Beatles,122,chordlib,The Beatles\07_-_Revolver\09_-_And_Your_Bird_Can_Sing.lab,And Your Bird Can Sing
126,The Beatles,122,chordlib,The Beatles\07_-_Revolver\10_-_For_No_One.lab,For No One
127,The Beatles,135,chordlib,The Beatles\07_-_Revolver\11_-_Doctor_Robert.lab,Doctor Robert
128,The Beatles,150,chordlib,The Beatles\07_-_Revolver\12_-_I_Want_To_Tell_You.lab,I Want To Tell You
129,The Beatles,151,chordlib,The Beatles\07_-_Revolver\13_-_Got_To_Get_You_Into_My_Life.lab,Got To Get You Into My Life
130,The Beatles,177,chordlib,The Beatles\07_-_Revolver\14_-_Tomorrow_Never_Knows.lab,Tomorrow Never Knows
131,The Beatles,122,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\01_-_Sgt._Pepper's_Lonely_Hearts_Club_Band.lab,Sgt. Pepper's Lonely Hearts Club Band
132,The Beatles,164,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\02_-_With_A_Little_Help_From_My_Friends.lab,With A Little Help From My Friends
133,The Beatles,208,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\03_-_Lucy_In_The_Sky_With_Diamonds.lab,Lucy In The Sky With Diamonds
134,The Beatles,168,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\04_-_Getting_Better.lab,Getting Better
135,The Beatles,157,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\05_-_Fixing_A_Hole.lab,Fixing A Hole
136,The Beatles,215,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\06_-_She's_Leaving_Home.lab,She's Leaving Home
137,The Beatles,157,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\07_-_Being_For_The_Benefit_Of_Mr._Kite!.lab,Being For The Benefit Of Mr. Kite!
138,The Beatles,305,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\08_-_Within_You_Without_You.lab,Within You Without You
139,The Beatles,158,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\09_-_When_I'm_Sixty-Four.lab,When I'm Sixty Four
140,The Beatles,162,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\10_-_Lovely_Rita.lab,Lovely Rita
141,The Beatles,161,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\11_-_Good_Morning_Good_Morning.lab,Good Morning Good Morning
142,The Beatles,79,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\12_-_Sgt._Pepper's_Lonely_Hearts_Club_Band_(Reprise).lab,Sgt. Pepper's Lonely Hearts Club Band (Reprise)
143,The Beatles,334,chordlib,The Beatles\08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band\13_-_A_Day_In_The_Life.lab,A Day In The Life
144,The Beatles,172,chordlib,The Beatles\09_-_Magical_Mystery_Tour\01_-_Magical_Mystery_Tour.lab,Magical Mystery Tour
145,The Beatles,180,chordlib,The Beatles\09_-_Magical_Mystery_Tour\02_-_The_Fool_On_The_Hill.lab,The Fool On The Hill
146,The Beatles,137,chordlib,The Beatles\09_-_Magical_Mystery_Tour\03_-_Flying.lab,Flying
147,The Beatles,237,chordlib,The Beatles\09_-_Magical_Mystery_Tour\04_-_Blue_Jay_Way.lab,Blue Jay Way
148,The Beatles,150,chordlib,The Beatles\09_-_Magical_Mystery_Tour\05_-_Your_Mother_Should_Know.lab,Your Mother Should Know
149,The Beatles,277,chordlib,The Beatles\09_-_Magical_Mystery_Tour\06_-_I_Am_The_Walrus.lab,I Am The Walrus
150,The Beatles,211,chordlib,The Beatles\09_-_Magical_Mystery_Tour\07_-_Hello_Goodbye.lab,Hello Goodbye
151,The Beatles,251,chordlib,The Beatles\09_-_Magical_Mystery_Tour\08_-_Strawberry_Fields_Forever.lab,Strawberry Fields Forever
152,The Beatles,183,chordlib,The Beatles\09_-_Magical_Mystery_Tour\09_-_Penny_Lane.lab,Penny Lane
153,The Beatles,184,chordlib,The Beatles\09_-_Magical_Mystery_Tour\10_-_Baby_You're_A_Rich_Man.lab,Baby You're A Rich Man
154,The Beatles,228,chordlib,The Beatles\09_-_Magical_Mystery_Tour\11_-_All_You_Need_Is_Love.lab,All You Need Is Love
155,The Beatles,163,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_01_-_Back_in_the_USSR.lab,Back in the USSR
156,The Beatles,236,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_02_-_Dear_Prudence.lab,Dear Prudence
157,The Beatles,138,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_03_-_Glass_Onion.lab,Glass Onion
158,The Beatles,189,chordlib,"The Beatles\10CD1_-_The_Beatles\CD1_-_04_-_Ob-La-Di,_Ob-La-Da.lab","Ob La Di, Ob La Da"
159,The Beatles,53,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_05_-_Wild_Honey_Pie.lab,Wild Honey Pie
160,The Beatles,194,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_06_-_The_Continuing_Story_of_Bungalow_Bill.lab,The Continuing Story of Bungalow Bill
161,The Beatles,285,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_07_-_While_My_Guitar_Gently_Weeps.lab,While My Guitar Gently Weeps
162,The Beatles,163,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_08_-_Happiness_is_a_Warm_Gun.lab,Happiness is a Warm Gun
163,The Beatles,149,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_09_-_Martha_My_Dear.lab,Martha My Dear
164,The Beatles,123,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_10_-_I'm_So_Tired.lab,I'm So Tired
165,The Beatles,138,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_11_-_Black_Bird.lab,Black Bird
166,The Beatles,124,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_12_-_Piggies.lab,Piggies
167,The Beatles,213,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_13_-_Rocky_Raccoon.lab,Rocky Raccoon
168,The Beatles,230,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_14_-_Don't_Pass_Me_By.lab,Don't Pass Me By
169,The Beatles,101,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_15_-_Why_Don't_We_Do_It_In_The_Road.lab,Why Don't We Do It In The Road
170,The Beatles,106,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_16_-_I_Will.lab,I Will
171,The Beatles,174,chordlib,The Beatles\10CD1_-_The_Beatles\CD1_-_17_-_Julia.lab,Julia
172,The Beatles,163,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_01_-_Birthday.lab,Birthday
173,The Beatles,241,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_02_-_Yer_Blues.lab,Yer Blues
174,The Beatles,168,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_03_-_Mother_Nature's_Son.lab,Mother Nature's Son
175,The Beatles,145,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_04_-_Everybody's_Got_Something_To_Hide_Except_Me_and_My_Monkey.lab,Everybody's Got Something To Hide Except Me and My Monkey
176,The Beatles,195,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_05_-_Sexy_Sadie.lab,Sexy Sadie
177,The Beatles,270,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_06_-_Helter_Skelter.lab,Helter Skelter
178,The Beatles,184,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_07_-_Long_Long_Long.lab,Long Long Long
179,The Beatles,256,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_08_-_Revolution_1.lab,Revolution 1
180,The Beatles,161,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_09_-_Honey_Pie.lab,Honey Pie
181,The Beatles,175,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_10_-_Savoy_Truffle.lab,Savoy Truffle
182,The Beatles,182,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_11_-_Cry_Baby_Cry.lab,Cry Baby Cry
183,The Beatles,502,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_12_-_Revolution_9.lab,Revolution 9
184,The Beatles,192,chordlib,The Beatles\10CD2_-_The_Beatles\CD2_-_13_-_Good_Night.lab,Good Night
185,The Beatles,261,chordlib,The Beatles\11_-_Abbey_Road\01_-_Come_Together.lab,Come Together
186,The Beatles,183,chordlib,The Beatles\11_-_Abbey_Road\02_-_Something.lab,Something
187,The Beatles,207,chordlib,The Beatles\11_-_Abbey_Road\03_-_Maxwell's_Silver_Hammer.lab,Maxwell's Silver Hammer
188,The Beatles,207,chordlib,The Beatles\11_-_Abbey_Road\04_-_Oh!_Darling.lab,Oh! Darling
189,The Beatles,171,chordlib,The Beatles\11_-_Abbey_Road\05_-_Octopus's_Garden.lab,Octopus's Garden
190,The Beatles,467,chordlib,The Beatles\11_-_Abbey_Road\06_-_I_Want_You.lab,I Want You
191,The Beatles,186,chordlib,The Beatles\11_-_Abbey_Road\07_-_Here_Comes_The_Sun.lab,Here Comes The Sun
192,The Beatles,166,chordlib,The Beatles\11_-_Abbey_Road\08_-_Because.lab,Because
193,The Beatles,242,chordlib,The Beatles\11_-_Abbey_Road\09_-_You_Never_Give_Me_Your_Money.lab,You Never Give Me Your Money
194,The Beatles,146,chordlib,The Beatles\11_-_Abbey_Road\10_-_Sun_King.lab,Sun King
195,The Beatles,66,chordlib,The Beatles\11_-_Abbey_Road\11_-_Mean_Mr_Mustard.lab,Mean Mr Mustard
196,The Beatles,73,chordlib,The Beatles\11_-_Abbey_Road\12_-_Polythene_Pam.lab,Polythene Pam
197,The Beatles,118,chordlib,The Beatles\11_-_Abbey_Road\13_-_She_Came_In_Through_The_Bathroom_Window.lab,She Came In Through The Bathroom Window
198,The Beatles,92,chordlib,The Beatles\11_-_Abbey_Road\14_-_Golden_Slumbers.lab,Golden Slumbers
199,The Beatles,97,chordlib,The Beatles\11_-_Abbey_Road\15_-_Carry_That_Weight.lab,Carry That Weight
200,The Beatles,140,chordlib,The Beatles\11_-_Abbey_Road\16_-_The_End.lab,The End
201,The Beatles,23,chordlib,The Beatles\11_-_Abbey_Road\17_-_Her_Majesty.lab,Her Majesty
202,The Beatles,217,chordlib,The Beatles\12_-_Let_It_Be\01_-_Two_of_Us.lab,Two of Us
203,The Beatles,235,chordlib,The Beatles\12_-_Let_It_Be\02_-_Dig_a_Pony.lab,Dig a Pony
204,The Beatles,229,chordlib,The Beatles\12_-_Let_It_Be\03_-_Across_the_Universe.lab,Across the Universe
205,The Beatles,146,chordlib,The Beatles\12_-_Let_It_Be\04_-_I_Me_Mine.lab,I Me Mine
206,The Beatles,50,chordlib,The Beatles\12_-_Let_It_Be\05_-_Dig_It.lab,Dig It
207,The Beatles,243,chordlib,The Beatles\12_-_Let_It_Be\06_-_Let_It_Be.lab,Let It Be
208,The Beatles,41,chordlib,The Beatles\12_-_Let_It_Be\07_-_Maggie_Mae.lab,Maggie Mae
209,The Beatles,218,chordlib,The Beatles\12_-_Let_It_Be\08_-_I've_Got_A_Feeling.lab,I've Got A Feeling
210,The Beatles,176,chordlib,The Beatles\12_-_Let_It_Be\09_-_One_After_909.lab,One After 909
211,The Beatles,218,chordlib,The Beatles\12_-_Let_It_Be\10_-_The_Long_and_Winding_Road.lab,The Long and Winding Road
212,The Beatles,218,chordlib,The Beatles\12_-_Let_It_Be\11_-_For_You_Blue (2).lab,For You Blue (2)
213,The Beatles,153,chordlib,The Beatles\12_-_Let_It_Be\11_-_For_You_Blue.lab,For You Blue
214,The Beatles,187,chordlib,The Beatles\12_-_Let_It_Be\12_-_Get_Back.lab,Get Back
